;NR;ES;RM;T;OPEX;CAPEX;BA;WF
1.1.1;0.25;0.10837626502176143;0,12;0,11;0,14;0,04;0,17;0,33
1.1.2;0.009874679213789078;0.10837626502176143;0,12;0,11;0,14;0,04;0,17;0,33
1.1.3;0.0035020181513751203;0.10837626502176143;0,12;0,11;0,14;0,04;0,17;0,33
1.2.1;0.017045372609572416;0.10837626502176143;0,12;0,11;0,14;0,04;0,17;0,33
1.2.2;0.0027779077677159707;0.10837626502176143;0,12;0,11;0,14;0,04;0,17;0,33
1.2.3;0.0027779077677159707;0.10837626502176143;0,12;0,11;0,14;0,04;0,17;0,33
1.3.1;0.047662980918361436;0.10837626502176143;0,12;0,11;0,14;0,04;0,17;0,33
1.4.1;0.047662980918361436;0.10837626502176143;0,12;0,11;0,14;0,04;0,17;0,33
1.5.1;0.03288124195688848;0.10837626502176143;0,12;0,11;0,14;0,04;0,17;0,33
1.6.1;0.011192026632500162;0.10837626502176143;0,12;0,11;0,14;0,04;0,17;0,33
1.7.1;0.0;0.10837626502176143;0,12;0,11;0,14;0,04;0,17;0,33
1.7.2;0.0;0.10837626502176143;0,12;0,11;0,14;0,04;0,17;0,33
1.8.1;0.020230599055487374;0.10837626502176143;0,12;0,11;0,14;0,04;0,17;0,33
1.9.1;0.027508477925789195;0.10837626502176143;0,12;0,11;0,14;0,04;0,17;0,33
1.10.1;0.030792016693907135;0.10837626502176143;0,12;0,11;0,14;0,04;0,17;0,33
1.10.2;0.02452087245291447;0.10837626502176143;0,12;0,11;0,14;0,04;0,17;0,33
1.11.1;;0.003273738969782365;0,06;0,25;0,05;0,01;0,0;0,2
1.11.2;0.01733768773864108;0.10837626502176143;0,12;0,11;0,14;0,04;0,17;0,33
2.1.1;;0.003273738969782365;0,04;0,03;0,0;0,0;0,0;0,08
2.1.2;;0.003273738969782365;0,02;0,02;0,0;0,01;0,0;0,22
2.2.1;;0.003273738969782365;0,04;0,03;0,0;0,0;0,0;0,08
2.2.2;;0.003273738969782365;0,02;0,02;0,0;0,01;0,0;0,22
3.1.1;;0.12081004076912834;0,25;0,02;0,04;0,02;0,0;0,11
3.2.1;;0.12081004076912834;0,19;0,01;0,05;0,02;0,0;0,11
4.1.1;;0.003273738969782365;0,06;0,03;0,0;0,0;0,0;0,06
5.1.1;;0.006072446732382176;0,18;0,05;0,0;0,0;0,0;0,12
6.1.1;;0.12489338910347181;0,05;0,04;0,11;0,06;0,0;0,07
7.1.1;;;0,05;0,0;0,26;0,11;0,0;0,01
7.1.2;;;0,05;0,0;0,26;0,11;0,0;0,01
7.1.3;;;0,05;0,0;0,26;0,11;0,0;0,01
7.2.1;0.05658273879734897;0.0;0,09;0,06;0,1;0,06;0,0;0,05
8.1.1;;0.0;0,01;0,03;0,02;0,0;0,0;0,1
8.1.2;;0.0;0,0;0,01;0,12;0,1;0,0;0,06
9.1.1;;0.0;0,05;0,0;0,33;0,33;0,0;0,0
10.1.1;;0.07882258731821601;0,15;0,23;0,07;0,06;0,0;0,04
10.1.2;;0.25;0,08;0,21;0,08;0,04;0,0;0,08
12.1.1;;;;;0,12;0,01;;
