;NR;ES;RM;T;OPEX;CAPEX;BA;WF
1.1.1;0.25;0.11371005917277005;0,11;0,11;0,17;0,05;0,17;0,33
1.1.2;0.009874679213789076;0.11371005917277005;0,11;0,11;0,17;0,05;0,17;0,33
1.1.3;0.00350201815137512;0.11371005917277005;0,11;0,11;0,17;0,05;0,17;0,33
1.2.1;0.017045372609572416;0.11371005917277005;0,11;0,11;0,17;0,05;0,17;0,33
1.2.2;0.0027779077677159703;0.11371005917277005;0,11;0,11;0,17;0,05;0,17;0,33
1.2.3;0.0027779077677159703;0.11371005917277005;0,11;0,11;0,17;0,05;0,17;0,33
1.3.1;0.04766298091836143;0.11371005917277005;0,11;0,11;0,17;0,05;0,17;0,33
1.4.1;0.04766298091836143;0.11371005917277005;0,11;0,11;0,17;0,05;0,17;0,33
1.5.1;0.03288124195688848;0.11371005917277005;0,11;0,11;0,17;0,05;0,17;0,33
1.6.1;0.01119202663250016;0.11371005917277005;0,11;0,11;0,17;0,05;0,17;0,33
1.7.1;0.0;0.11371005917277005;0,11;0,11;0,17;0,05;0,17;0,33
1.7.2;0.0;0.11371005917277005;0,11;0,11;0,17;0,05;0,17;0,33
1.8.1;0.02023059905548737;0.11371005917277005;0,11;0,11;0,17;0,05;0,17;0,33
1.9.1;0.027508477925789192;0.11371005917277005;0,11;0,11;0,17;0,05;0,17;0,33
1.10.1;0.030792016693907128;0.11371005917277005;0,11;0,11;0,17;0,05;0,17;0,33
1.10.2;0.02452087245291447;0.11371005917277005;0,11;0,11;0,17;0,05;0,17;0,33
1.11.1;;0.003942556871155573;0,04;0,25;0,08;0,01;0,0;0,2
1.11.2;0.017337687738641076;0.11371005917277005;0,11;0,11;0,17;0,05;0,17;0,33
2.1.1;;0.003942556871155573;0,04;0,02;0,01;0,0;0,0;0,08
2.1.2;;0.003942556871155573;0,01;0,02;0,02;0,01;0,0;0,22
2.2.1;;0.003942556871155573;0,04;0,02;0,01;0,0;0,0;0,08
2.2.2;;0.003942556871155573;0,01;0,02;0,02;0,01;0,0;0,22
3.1.1;;0.13088952079215804;0,25;0,02;0,06;0,03;0,0;0,11
3.2.1;;0.13088952079215804;0,21;0,01;0,06;0,02;0,0;0,1
4.1.1;;0.003942556871155573;0,06;0,04;0,03;0,0;0,0;0,06
5.1.1;;0.0064799198232387625;0,17;0,07;0,03;0,0;0,0;0,11
6.1.1;;0.12124955468510551;0,04;0,05;0,11;0,06;0,0;0,08
7.1.1;;;0,06;0,0;0,28;0,13;0,0;0,02
7.1.2;;;0,06;0,0;0,28;0,13;0,0;0,02
7.1.3;;;0,06;0,0;0,28;0,13;0,0;0,02
7.2.1;0.045870897580812496;0.0;0,1;0,06;0,13;0,06;0,0;0,05
8.1.1;;0.0;0,01;0,04;0,03;0,01;0,0;0,11
8.1.2;;0.0;0,0;0,01;0,13;0,11;0,0;0,06
9.1.1;;0.0;0,02;0,0;0,33;0,33;0,0;0,0
10.1.1;;0.0814413853149277;0,18;0,25;0,0;0,07;0,0;0,05
10.1.2;;0.25;0,09;0,18;0,09;0,05;0,0;0,08
11.1.1;;0.003942556871155573;;;;;;
12.1.1;;;;;0,2;0,01;;
