;NR;ES;RM;T;OPEX;CAPEX;BA;WF
1.1.1;1.0;0,2919275415720411;0,33393258277194504;0,14311842390880014;0,32206557335222696;0,19202089054039295;1,0;1,0
1.1.2;0.0394987168551563;0,2919275415720411;0,33393258277194504;0,14311842390880014;0,32206557335222696;0,19202089054039295;1,0;1,0
1.1.3;0.01400807260550048;0,2919275415720411;0,33393258277194504;0,14311842390880014;0,32206557335222696;0,19202089054039295;1,0;1,0
1.2.1;0.06818149043828967;0,2919275415720411;0,33393258277194504;0,14311842390880014;0,32206557335222696;0,19202089054039295;1,0;1,0
1.2.2;0.011111631070863881;0,2919275415720411;0,33393258277194504;0,14311842390880014;0,32206557335222696;0,19202089054039295;1,0;1,0
1.2.3;0.011111631070863881;0,2919275415720411;0,33393258277194504;0,14311842390880014;0,32206557335222696;0,19202089054039295;1,0;1,0
1.3.1;0.19065192367344572;0,2919275415720411;0,33393258277194504;0,14311842390880014;0,32206557335222696;0,19202089054039295;1,0;1,0
1.4.1;0.19065192367344572;0,2919275415720411;0,33393258277194504;0,14311842390880014;0,32206557335222696;0,19202089054039295;1,0;1,0
1.5.1;0.1315249678275539;0,2919275415720411;0,33393258277194504;0,14311842390880014;0,32206557335222696;0,19202089054039295;1,0;1,0
1.6.1;0.04476810653000064;0,2919275415720411;0,33393258277194504;0,14311842390880014;0,32206557335222696;0,19202089054039295;1,0;1,0
1.7.1;0.0;0,2919275415720411;0,33393258277194504;0,14311842390880014;0,32206557335222696;0,19202089054039295;1,0;1,0
1.7.2;0.0;0,2919275415720411;0,33393258277194504;0,14311842390880014;0,32206557335222696;0,19202089054039295;1,0;1,0
1.8.1;0.08092239622194948;0,2919275415720411;0,33393258277194504;0,14311842390880014;0,32206557335222696;0,19202089054039295;1,0;1,0
1.9.1;0.11003391170315675;0,2919275415720411;0,33393258277194504;0,14311842390880014;0,32206557335222696;0,19202089054039295;1,0;1,0
1.10.1;0.12316806677562854;0,2919275415720411;0,33393258277194504;0,14311842390880014;0,32206557335222696;0,19202089054039295;1,0;1,0
1.10.2;0.09808348981165788;0,2919275415720411;0,33393258277194504;0,14311842390880014;0,32206557335222696;0,19202089054039295;1,0;1,0
1.11.1;7.503133433067727e-05;0,003295163243380823;0,14770968212687471;0,4407451783389664;0,16446949495391688;0,030914898556246097;0,011084373078813908;0,571624061765768
1.11.2;0.0693507509545643;0,2919275415720411;0,33393258277194504;0,14311842390880014;0,32206557335222696;0,19202089054039295;1,0;1,0
2.1.1;7.503133433067727e-05;0,003295163243380823;0,14337152242624598;0,046994149184693815;0,0;0,0007523200087384397;0,011842585068840632;0,22049950559193962
2.1.2;7.503133433067727e-05;0,003295163243380823;0,04937007785621804;0,0374511799341709;0,009011379476790959;0,013487815720883266;0,013190841064528929;0,48796251961306997
2.2.1;7.503133433067727e-05;0,003295163243380823;0,14337152242624598;0,046994149184693815;0,0;0,0007523200087384397;0,011842585068840632;0,22049950559193962
2.2.2;7.503133433067727e-05;0,003295163243380823;0,04937007785621804;0,0374511799341709;0,009011379476790959;0,013487815720883266;0,013190841064528929;0,48796251961306997
3.1.1;0.005811949690593106;0,41076069341949073;1,0;0,03566737436367248;0,1257632078092913;0,06029581721744231;0,06629196888675042;0,3907903383510924
3.2.1;0.005811949690593106;0,41076069341949073;0,7323969626140757;0,023772006067782216;0,1791249955552107;0,05252717050729413;0,024342228840736516;0,342541204049993
4.1.1;7.503133433067727e-05;0,003295163243380823;0,26074060682344125;0,06747162494589043;0,027201771114340936;0,013358550821397716;0,00289091780017093;0,16638942667139472
5.1.1;0.0;0,027519314655875118;0,7087890035171092;0,09876431312521824;0,020770362984901664;0,0;0,002465336118074503;0,3870142052660552
6.1.1;0.021260303359475867;0,4451217377303511;0,22597255703987595;0,1078470069347725;0,3023498591861704;0,2131299398189994;0,009663459083706501;0,20864839036504482
7.1.1;0.3004637702215645;;0,27380874269596756;0,0;0,6919166699603551;0,3896240002546285;0,05876524629247603;0,0535352737309966
7.1.2;0.3004637702215645;;0,27380874269596756;0,0;0,6919166699603551;0,3896240002546285;0,05876524629247603;0,0535352737309966
7.1.3;0.3004637702215645;;0,27380874269596756;0,0;0,6919166699603551;0,3896240002546285;0,05876524629247603;0,0535352737309966
7.2.1;0.1722237339871339;0,0;0,38025453165483053;0,11935921156993506;0,3007115678961057;0,18581119376704552;0,006148770383607451;0,1680532641779965
8.1.1;0.0;0,0;0,048584657758122304;0,07000819479535987;0,049676031342403996;0,016799283929213454;0,0;0,35186385334143633
8.1.2;0.0;0,0;0,0;0,01588729349418354;0,3777425118444138;0,3198127105320452;0,0027092647973146764;0,19012121950324407
9.1.1;0.0;0,0;0,1361444084424733;0,002651145436086967;1,0;1,0;0,0012145245428456402;0,0
10.1.1;0.0;0,31246900038260367;0,6444310238549158;1,0;0,3361384819738945;0,18344437208763362;0,047350499204266996;0,15396124102289935
10.1.2;0.0;1,0;0,3406386145522604;0,36031079571044666;0,2033407231579031;0,09432089446609815;0,008690078599116942;0,26724208403498434
11.1.1;7.503133433067727e-05;0,003295163243380823;;;;;;
12.1.1;;;;;0,09113987132790341;0,02303401351495344;;
