;NR;ES;RM;T;OPEX;CAPEX;BA;WF
1.1.1;1.1082675919107898;0.003685906771024478;1,5106188561336484;0,043252220957295986;0,37267953758686706;4,679205749700907;0,3389143143164358;59,670230492321984
1.1.2;0.0437751478126302;0.003685906771024478;1,5106188561336484;0,043252220957295986;0,37267953758686706;4,679205749700907;0,3389143143164358;59,670230492321984
1.1.3;0.01552469289380952;0.003685906771024478;1,5106188561336484;0,043252220957295986;0,37267953758686706;4,679205749700907;0,3389143143164358;59,670230492321984
1.2.1;0.07556333622093182;0.003685906771024478;1,5106188561336484;0,043252220957295986;0,37267953758686706;4,679205749700907;0,3389143143164358;59,670230492321984
1.2.2;0.012314660609107424;0.003685906771024478;1,5106188561336484;0,043252220957295986;0,37267953758686706;4,679205749700907;0,3389143143164358;59,670230492321984
1.2.3;0.012314660609107424;0.003685906771024478;1,5106188561336484;0,043252220957295986;0,37267953758686706;4,679205749700907;0,3389143143164358;59,670230492321984
1.3.1;0.2112933483427294;0.003685906771024478;1,5106188561336484;0,043252220957295986;0,37267953758686706;4,679205749700907;0,3389143143164358;59,670230492321984
1.4.1;0.2112933483427294;0.003685906771024478;1,5106188561336484;0,043252220957295986;0,37267953758686706;4,679205749700907;0,3389143143164358;59,670230492321984
1.5.1;0.14576485937038725;0.003685906771024478;1,5106188561336484;0,043252220957295986;0,37267953758686706;4,679205749700907;0,3389143143164358;59,670230492321984
1.6.1;0.04961504161840952;0.003685906771024478;1,5106188561336484;0,043252220957295986;0,37267953758686706;4,679205749700907;0,3389143143164358;59,670230492321984
1.7.1;0.0;0.003685906771024478;1,5106188561336484;0,043252220957295986;0,37267953758686706;4,679205749700907;0,3389143143164358;59,670230492321984
1.7.2;0.0;0.003685906771024478;1,5106188561336484;0,043252220957295986;0,37267953758686706;4,679205749700907;0,3389143143164358;59,670230492321984
1.8.1;0.08968366919255075;0.003685906771024478;1,5106188561336484;0,043252220957295986;0,37267953758686706;4,679205749700907;0,3389143143164358;59,670230492321984
1.9.1;0.12194701835178201;0.003685906771024478;1,5106188561336484;0,043252220957295986;0,37267953758686706;4,679205749700907;0,3389143143164358;59,670230492321984
1.10.1;0.13650317676573318;0.003685906771024478;1,5106188561336484;0,043252220957295986;0,37267953758686706;4,679205749700907;0,3389143143164358;59,670230492321984
1.10.2;0.10870275305977255;0.003685906771024478;1,5106188561336484;0,043252220957295986;0,37267953758686706;4,679205749700907;0,3389143143164358;59,670230492321984
1.11.1;0.00010571812175038158;0.00047027971611888526;0,9037480226976405;0,11739672414867657;0,21808343271020433;1,2864402676859008;0,00344566558982216;32,92642391598282
1.11.2;0.07685918975761989;0.003685906771024478;1,5106188561336484;0,043252220957295986;0,37267953758686706;4,679205749700907;0,3389143143164358;59,670230492321984
2.1.1;0.00010571812175038158;0.00047027971611888526;0,9685845053714658;0,013038208993688356;0,08927547831787788;0,6708571242259482;0,004165925796397343;14,417296290310928
2.1.2;0.00010571812175038158;0.00047027971611888526;0,7524104864965037;0,01047964243955158;0,10291084507325055;0,9383480478802284;0,004328112899955113;29,39557246715553
2.2.1;0.00010571812175038158;0.00047027971611888526;0,9685845053714658;0,013038208993688356;0,08927547831787788;0,6708571242259482;0,004165925796397343;14,417296290310928
2.2.2;0.00010571812175038158;0.00047027971611888526;0,7524104864965037;0,01047964243955158;0,10291084507325055;0,9383480478802284;0,004328112899955113;29,39557246715553
3.1.1;0.007657230190700467;0.004772846514540054;2,877988736396139;0,009322078060785608;0,19009025462162557;1,7738694006233853;0,019125651054114963;23,483153533325382
3.2.1;0.007657230190700467;0.004772846514540054;2,4003857624899645;0,006158135441177309;0,22421146065490682;1,6000338664775686;0,007958273518519835;21,55126466992151
4.1.1;0.00010571812175038158;0.00047027971611888526;1,2302185250876247;0,020224893849548193;0,12166594259982477;0,9430492208981144;0,0007711977252944319;11,053969655544183
5.1.1;0.0;0.000712929298142891;2,332012045231072;0,03641224188790561;0,12294124877089478;0,6540068829891839;0,0008435291195679054;23,252084981660587
6.1.1;0.02842607154988138;0.004791892935918044;1,1478296068253044;0,019564455208732855;0,3363501931999805;4,630804249816436;0,0031996702394447743;13,726915483652693
7.1.1;0.3526848451111491;;1,203559510567297;0,0002471882338400692;0,7353849956742059;8,222716598689901;0,022084220428034654;4,804657814147357
7.1.2;0.3526848451111491;;1,203559510567297;0,0002471882338400692;0,7353849956742059;8,222716598689901;0,022084220428034654;4,804657814147357
7.1.3;0.3526848451111491;;1,203559510567297;0,0002471882338400692;0,7353849956742059;8,222716598689901;0,022084220428034654;4,804657814147357
7.2.1;0.250650821966899;0.00043397836338344883;1,5713963455898938;0,030904579291676063;0,37175727498308136;4,4367245657568235;0,002162367958228084;11,946313867270103
8.1.1;0.0;0.00043397836338344883;0,766407143895376;0,022320946059266603;0,1336647870211283;0,9868325425901838;0,0;21,890064243844375
8.1.2;0.0;0.00043397836338344883;0,6477458296297827;0,0050023771627012836;0,3847696219277756;7,048080699505963;0,0007788191531522437;12,85416906979593
9.1.1;0.0;0.00043397836338344883;0,8377163584749437;0,0010054015692149982;0,8619445649173993;19,912017505815555;0,001884619820312717;1,868255004483018
10.1.1;0.0;0.0039399091744761255;2,370410759723737;0,26759683026193976;0,347416465558676;4,605553773240644;0,021171733292042163;10,984959267086248
10.1.2;0.0;0.01119610746253711;1,475111625599471;0,07720064542327514;0,23671370004249703;2,572921809445258;0,0030110119255156633;17,722544429855503
11.1.1;0.00010571812175038158;0.00047027971611888526;;;;;;
12.1.1;;;;;0,1671288471;1,13867063115932;;
