;Country;Sector;Value_NR;Value_GVA;Value_norm_NR
0;Belgium;1.2.1;41,27;3281,16;0,01
1;Bulgaria;1.2.1;939,35;3524,56;0,27
2;Cyprus;1.2.1;149,40;472,85;0,32
3;Czechia;1.2.1;36,80;72645,24;0,00
4;Denmark;1.2.1;495,71;25704,66;0,02
5;France;1.2.1;3045,02;37796,45;0,08
6;Germany (until 1990 former territory of the FRG);1.2.1;210,90;24339,47;0,01
7;Greece;1.2.1;8403,00;7909,56;1,06
8;Hungary;1.2.1;279,50;984849,93;0,00
9;Latvia;1.2.1;33,66;860,80;0,04
10;Lithuania;1.2.1;68,00;1001,10;0,07
11;Malta;1.2.1;28,26;101,92;0,28
12;Netherlands;1.2.1;121,97;13425,09;0,01
13;Romania;1.2.1;739,00;31188,77;0,02
14;Slovakia;1.2.1;17,50;1342,86;0,01
15;Slovenia;1.2.1;1,80;813,32;0,00
16;Spain;1.2.1;23360,00;30798,11;0,76
17;Sweden;1.2.1;89,00;69609,00;0,00
18;United Kingdom;1.2.1;1187,10;11516,67;0,10
19;Belgium;1.8.1;41,27;3281,16;0,01
20;Bulgaria;1.8.1;939,35;3524,56;0,27
21;Cyprus;1.8.1;149,40;472,85;0,32
22;Czechia;1.8.1;36,80;72645,24;0,00
23;Denmark;1.8.1;495,71;25704,66;0,02
24;France;1.8.1;3045,02;37796,45;0,08
25;Germany (until 1990 former territory of the FRG);1.8.1;210,90;24339,47;0,01
26;Greece;1.8.1;8403,00;7909,56;1,06
27;Hungary;1.8.1;279,50;984849,93;0,00
28;Latvia;1.8.1;33,66;860,80;0,04
29;Lithuania;1.8.1;68,00;1001,10;0,07
30;Malta;1.8.1;28,26;101,92;0,28
31;Netherlands;1.8.1;121,97;13425,09;0,01
32;Romania;1.8.1;739,00;31188,77;0,02
33;Slovakia;1.8.1;17,50;1342,86;0,01
34;Slovenia;1.8.1;1,80;813,32;0,00
35;Spain;1.8.1;23360,00;30798,11;0,76
36;Sweden;1.8.1;89,00;69609,00;0,00
37;United Kingdom;1.8.1;1187,10;11516,67;0,10
38;Belgium;1.9.1;41,27;3281,16;0,01
39;Bulgaria;1.9.1;939,35;3524,56;0,27
40;Cyprus;1.9.1;149,40;472,85;0,32
41;Czechia;1.9.1;36,80;72645,24;0,00
42;Denmark;1.9.1;495,71;25704,66;0,02
43;France;1.9.1;3045,02;37796,45;0,08
44;Germany (until 1990 former territory of the FRG);1.9.1;210,90;24339,47;0,01
45;Greece;1.9.1;8403,00;7909,56;1,06
46;Hungary;1.9.1;279,50;984849,93;0,00
47;Latvia;1.9.1;33,66;860,80;0,04
48;Lithuania;1.9.1;68,00;1001,10;0,07
49;Malta;1.9.1;28,26;101,92;0,28
50;Netherlands;1.9.1;121,97;13425,09;0,01
51;Romania;1.9.1;739,00;31188,77;0,02
52;Slovakia;1.9.1;17,50;1342,86;0,01
53;Slovenia;1.9.1;1,80;813,32;0,00
54;Spain;1.9.1;23360,00;30798,11;0,76
55;Sweden;1.9.1;89,00;69609,00;0,00
56;United Kingdom;1.9.1;1187,10;11516,67;0,10
57;Belgium;1.4.1;41,27;3281,16;0,01
58;Bulgaria;1.4.1;939,35;3524,56;0,27
59;Cyprus;1.4.1;149,40;472,85;0,32
60;Czechia;1.4.1;36,80;72645,24;0,00
61;Denmark;1.4.1;495,71;25704,66;0,02
62;France;1.4.1;3045,02;37796,45;0,08
63;Germany (until 1990 former territory of the FRG);1.4.1;210,90;24339,47;0,01
64;Greece;1.4.1;8403,00;7909,56;1,06
65;Hungary;1.4.1;279,50;984849,93;0,00
66;Latvia;1.4.1;33,66;860,80;0,04
67;Lithuania;1.4.1;68,00;1001,10;0,07
68;Malta;1.4.1;28,26;101,92;0,28
69;Netherlands;1.4.1;121,97;13425,09;0,01
70;Romania;1.4.1;739,00;31188,77;0,02
71;Slovakia;1.4.1;17,50;1342,86;0,01
72;Slovenia;1.4.1;1,80;813,32;0,00
73;Spain;1.4.1;23360,00;30798,11;0,76
74;Sweden;1.4.1;89,00;69609,00;0,00
75;United Kingdom;1.4.1;1187,10;11516,67;0,10
76;Belgium;1.7.1;41,27;3281,16;0,01
77;Bulgaria;1.7.1;939,35;3524,56;0,27
78;Cyprus;1.7.1;149,40;472,85;0,32
79;Czechia;1.7.1;36,80;72645,24;0,00
80;Denmark;1.7.1;495,71;25704,66;0,02
81;France;1.7.1;3045,02;37796,45;0,08
82;Germany (until 1990 former territory of the FRG);1.7.1;210,90;24339,47;0,01
83;Greece;1.7.1;8403,00;7909,56;1,06
84;Hungary;1.7.1;279,50;984849,93;0,00
85;Latvia;1.7.1;33,66;860,80;0,04
86;Lithuania;1.7.1;68,00;1001,10;0,07
87;Malta;1.7.1;28,26;101,92;0,28
88;Netherlands;1.7.1;121,97;13425,09;0,01
89;Romania;1.7.1;739,00;31188,77;0,02
90;Slovakia;1.7.1;17,50;1342,86;0,01
91;Slovenia;1.7.1;1,80;813,32;0,00
92;Spain;1.7.1;23360,00;30798,11;0,76
93;Sweden;1.7.1;89,00;69609,00;0,00
94;United Kingdom;1.7.1;1187,10;11516,67;0,10
95;Belgium;1.11.2;41,27;3281,16;0,01
96;Bulgaria;1.11.2;939,35;3524,56;0,27
97;Cyprus;1.11.2;149,40;472,85;0,32
98;Czechia;1.11.2;36,80;72645,24;0,00
99;Denmark;1.11.2;495,71;25704,66;0,02
100;France;1.11.2;3045,02;37796,45;0,08
101;Germany (until 1990 former territory of the FRG);1.11.2;210,90;24339,47;0,01
102;Greece;1.11.2;8403,00;7909,56;1,06
103;Hungary;1.11.2;279,50;984849,93;0,00
104;Latvia;1.11.2;33,66;860,80;0,04
105;Lithuania;1.11.2;68,00;1001,10;0,07
106;Malta;1.11.2;28,26;101,92;0,28
107;Netherlands;1.11.2;121,97;13425,09;0,01
108;Romania;1.11.2;739,00;31188,77;0,02
109;Slovakia;1.11.2;17,50;1342,86;0,01
110;Slovenia;1.11.2;1,80;813,32;0,00
111;Spain;1.11.2;23360,00;30798,11;0,76
112;Sweden;1.11.2;89,00;69609,00;0,00
113;United Kingdom;1.11.2;1187,10;11516,67;0,10
114;Belgium;1.10.1;41,27;3281,16;0,01
115;Bulgaria;1.10.1;939,35;3524,56;0,27
116;Cyprus;1.10.1;149,40;472,85;0,32
117;Czechia;1.10.1;36,80;72645,24;0,00
118;Denmark;1.10.1;495,71;25704,66;0,02
119;France;1.10.1;3045,02;37796,45;0,08
120;Germany (until 1990 former territory of the FRG);1.10.1;210,90;24339,47;0,01
121;Greece;1.10.1;8403,00;7909,56;1,06
122;Hungary;1.10.1;279,50;984849,93;0,00
123;Latvia;1.10.1;33,66;860,80;0,04
124;Lithuania;1.10.1;68,00;1001,10;0,07
125;Malta;1.10.1;28,26;101,92;0,28
126;Netherlands;1.10.1;121,97;13425,09;0,01
127;Romania;1.10.1;739,00;31188,77;0,02
128;Slovakia;1.10.1;17,50;1342,86;0,01
129;Slovenia;1.10.1;1,80;813,32;0,00
130;Spain;1.10.1;23360,00;30798,11;0,76
131;Sweden;1.10.1;89,00;69609,00;0,00
132;United Kingdom;1.10.1;1187,10;11516,67;0,10
