;NR;ES;RM;T;OPEX;CAPEX;BA;WF
1.1.1;0.25;0.1478859890987327;0,1;0,01;0,12;0,02;0,17;0,33
1.1.2;0.009874679213789076;0.1478859890987327;0,1;0,01;0,12;0,02;0,17;0,33
1.1.3;0.0035020181513751203;0.1478859890987327;0,1;0,01;0,12;0,02;0,17;0,33
1.2.1;0.017045372609572416;0.1478859890987327;0,1;0,01;0,12;0,02;0,17;0,33
1.2.2;0.0027779077677159703;0.1478859890987327;0,1;0,01;0,12;0,02;0,17;0,33
1.2.3;0.0027779077677159703;0.1478859890987327;0,1;0,01;0,12;0,02;0,17;0,33
1.3.1;0.047662980918361436;0.1478859890987327;0,1;0,01;0,12;0,02;0,17;0,33
1.4.1;0.047662980918361436;0.1478859890987327;0,1;0,01;0,12;0,02;0,17;0,33
1.5.1;0.03288124195688848;0.1478859890987327;0,1;0,01;0,12;0,02;0,17;0,33
1.6.1;0.01119202663250016;0.1478859890987327;0,1;0,01;0,12;0,02;0,17;0,33
1.7.1;0.0;0.1478859890987327;0,1;0,01;0,12;0,02;0,17;0,33
1.7.2;0.0;0.1478859890987327;0,1;0,01;0,12;0,02;0,17;0,33
1.8.1;0.02023059905548737;0.1478859890987327;0,1;0,01;0,12;0,02;0,17;0,33
1.9.1;0.027508477925789192;0.1478859890987327;0,1;0,01;0,12;0,02;0,17;0,33
1.10.1;0.03079201669390713;0.1478859890987327;0,1;0,01;0,12;0,02;0,17;0,33
1.10.2;0.02452087245291447;0.1478859890987327;0,1;0,01;0,12;0,02;0,17;0,33
1.11.1;;0.00080853212390561;0,01;0,08;0,07;0,0;0,0;0,16
1.11.2;0.017337687738641076;0.1478859890987327;0,1;0,01;0,12;0,02;0,17;0,33
2.1.1;;0.00080853212390561;0,02;0,01;0,0;;0,0;0,06
2.1.2;;0.00080853212390561;0,0;0,01;0,01;;0,0;0,19
2.2.1;;0.00080853212390561;0,02;0,01;0,0;;0,0;0,06
2.2.2;;0.00080853212390561;0,0;0,01;0,01;;0,0;0,19
3.1.1;;0.09602354017750778;0,25;0,0;0,06;0,02;0,0;0,1
3.2.1;;0.09602354017750778;0,15;0,0;0,06;0,02;0,0;0,09
4.1.1;;0.00080853212390561;0,04;0,02;0,06;0,01;0,0;0,06
5.1.1;;0.006708242027112746;0,14;0,02;0,04;0,0;0,0;0,26
6.1.1;;0.11884969028564846;0,04;0,02;0,11;0,09;0,0;0,04
7.1.1;;;0,03;0,0;0,25;0,11;0,0;0,03
7.1.2;;;0,03;0,0;0,25;0,11;0,0;0,03
7.1.3;;;0,03;0,0;0,25;0,11;0,0;0,03
7.2.1;0.06086379304943163;0.0;0,08;0,02;0,13;0,06;0,0;0,13
8.1.1;;0.0;0,01;0,0;0,0;0,01;0,0;0,25
8.1.2;;0.0;0,0;0,01;0,06;0,11;0,0;0,14
9.1.1;;0.0;0,02;0,0;0,33;0,33;0,0;0,0
10.1.1;;0.08117839022311132;0,16;0,25;0,19;;0,0;0,13
10.1.2;;0.25;0,07;0,04;0,08;;0,0;0,21
12.1.1;;;;;0,25;0,01;;
