Heatmap_sector_level_3_cd;NR;ES;RM;T;OPEX;CAPEX;BA;WF
1.1.1;0,1754244253891118;0.005329027710142462;1,7328774829520028;0,06141494378993293;0,4836832770470923;6,104836833523337;0,23300520178338455;64,21283567939247
1.1.2;0,1754244253891118;0.005329027710142462;1,7328774829520028;0,06141494378993293;0,4836832770470923;6,104836833523337;0,23300520178338455;64,21283567939247
1.1.3;0,1754244253891118;0.005329027710142462;1,7328774829520028;0,06141494378993293;0,4836832770470923;6,104836833523337;0,23300520178338455;64,21283567939247
1.2.1;0,1754244253891118;0.005329027710142462;1,7328774829520028;0,06141494378993293;0,4836832770470923;6,104836833523337;0,23300520178338455;64,21283567939247
1.2.2;0,1754244253891118;0.005329027710142462;1,7328774829520028;0,06141494378993293;0,4836832770470923;6,104836833523337;0,23300520178338455;64,21283567939247
1.2.3;0,1754244253891118;0.005329027710142462;1,7328774829520028;0,06141494378993293;0,4836832770470923;6,104836833523337;0,23300520178338455;64,21283567939247
1.3.1;0,1754244253891118;0.005329027710142462;1,7328774829520028;0,06141494378993293;0,4836832770470923;6,104836833523337;0,23300520178338455;64,21283567939247
1.4.1;0,1754244253891118;0.005329027710142462;1,7328774829520028;0,06141494378993293;0,4836832770470923;6,104836833523337;0,23300520178338455;64,21283567939247
1.5.1;0,1754244253891118;0.005329027710142462;1,7328774829520028;0,06141494378993293;0,4836832770470923;6,104836833523337;0,23300520178338455;64,21283567939247
1.6.1;0,1754244253891118;0.005329027710142462;1,7328774829520028;0,06141494378993293;0,4836832770470923;6,104836833523337;0,23300520178338455;64,21283567939247
1.7.1;0,1754244253891118;0.005329027710142462;1,7328774829520028;0,06141494378993293;0,4836832770470923;6,104836833523337;0,23300520178338455;64,21283567939247
1.7.2;0,1754244253891118;0.005329027710142462;1,7328774829520028;0,06141494378993293;0,4836832770470923;6,104836833523337;0,23300520178338455;64,21283567939247
1.8.1;0,1754244253891118;0.005329027710142462;1,7328774829520028;0,06141494378993293;0,4836832770470923;6,104836833523337;0,23300520178338455;64,21283567939247
1.9.1;0,1754244253891118;0.005329027710142462;1,7328774829520028;0,06141494378993293;0,4836832770470923;6,104836833523337;0,23300520178338455;64,21283567939247
1.10.1;0,1754244253891118;0.005329027710142462;1,7328774829520028;0,06141494378993293;0,4836832770470923;6,104836833523337;0,23300520178338455;64,21283567939247
1.10.2;0,1754244253891118;0.005329027710142462;1,7328774829520028;0,06141494378993293;0,4836832770470923;6,104836833523337;0,23300520178338455;64,21283567939247
1.11.1;;0.0006036995874959752;1,0249943060662876;0,13899328426791183;0,2507574219237274;1,4402807343311943;8,370412514363727e-05;39,591027350483074
1.11.2;0,1754244253891118;0.005329027710142462;1,7328774829520028;0,06141494378993293;0,4836832770470923;6,104836833523337;0,23300520178338455;64,21283567939247
2.1.1;;0.0006036995874959752;0,9882219397409878;0,012924222449526443;0,09450478506680367;0,9099082016994589;0,00022377894532010117;17,235189890982205
2.1.2;;0.0006036995874959752;0,7586210149191707;0,01251936138479027;0,11543097451164885;1,2523585125917538;0,0;43,05148566217085
2.2.1;;0.0006036995874959752;0,9882219397409878;0,012924222449526443;0,09450478506680367;0,9099082016994589;0,00022377894532010117;17,235189890982205
2.2.2;;0.0006036995874959752;0,7586210149191707;0,01251936138479027;0,11543097451164885;1,2523585125917538;0,0;43,05148566217085
3.1.1;;0.006068578045349699;3,0543214191617043;0,009447411542446618;0,201488043918962;2,1708288498252717;0,00020868113522537563;22,750341106701878
3.2.1;;0.006068578045349699;2,6350357104802846;0,006017751844145096;0,20913814049322532;1,8966230813813452;9,07697272873971e-05;20,239658807722147
4.1.1;;0.0006036995874959752;1,2678298709174096;0,023478167401268707;0,12960339004572097;0,9094461618110198;3,0085744371458655e-05;13,342694618550027
5.1.1;;0.0006648993058613462;1,8123971368852911;0,02231037778575222;0,1218733028209259;1,2422887031831475;1,1302883365546552e-05;41,8394042094797
6.1.1;;0.0056535918063274375;1,0775590885726716;0,026607011122647625;0,31897533401178907;4,237935692474336;6,93433187712364e-05;16,72568228328885
7.1.1;;;2,008968082519654;0,018444464125886743;0,5581821946286544;7,767666946517294;8,954355174497997e-05;10,895638993242457
7.1.2;;;2,008968082519654;0,018444464125886743;0,5581821946286544;7,767666946517294;8,954355174497997e-05;10,895638993242457
7.1.3;;;2,008968082519654;0,018444464125886743;0,5581821946286544;7,767666946517294;8,954355174497997e-05;10,895638993242457
7.2.1;0,2890016696911352;0.0006036995874959752;1,408848427422117;0,03224121668764193;0,4466790798057388;6,944032865743647;0,0;22,984884860033944
8.1.1;;0.0006036995874959752;0,799424520201056;0,023302812317352695;0,17560171503992314;1,5147548978460081;0,00011267964117739173;35,94476833687801
8.1.2;;0.0006036995874959752;0,43183994868777975;0,01337202695887494;0,3201716114097469;5,5167016934354995;8,978368087606556e-05;26,492013506895294
9.1.1;;0.0006036995874959752;0,3721589391571318;0,005589862586421805;0,5932677629013771;15,771491271441647;0,00024333578600355737;3,402390228657255
10.1.1;;0.009509199066456399;3,202017345411858;0,13719768383409117;0,05920981550210356;4,883293481433849;0,0;15,569964256704912
10.1.2;;0.015291446630621652;1,383747170540927;0,10003217865579368;0,2836653505648344;3,7000270499243486;4,5668356395853304e-05;22,28248065649073
11.1.1;;0.0006036995874959752;;;;;;
