;Country;Sector;Value_ES;Value_GVA;Value_norm_ES
730;Bulgaria;1.11.1;41,40;48950,56;0,00
731;Croatia;1.11.1;33,37;222369,96;0,00
732;Cyprus;1.11.1;10,39;15109,49;0,00
733;Denmark;1.11.1;89,13;1329572,91;0,00
734;Estonia;1.11.1;17,77;9630,80;0,00
735;Finland;1.11.1;131,51;125961,79;0,00
736;France;1.11.1;1018,39;1662486,35;0,00
737;Greece;1.11.1;81,95;173545,52;0,00
738;Hungary;1.11.1;127,62;17659537,89;0,00
739;Ireland;1.11.1;64,64;133988,62;0,00
740;Italy;1.11.1;712,05;1212261,61;0,00
741;Japan;1.11.1;1863,63;347693833,82;0,00
742;Latvia;1.11.1;25,03;12178,00;0,00
743;Lithuania;1.11.1;25,17;16829,90;0,00
744;Luxembourg;1.11.1;17,78;36280,22;0,00
745;Malta;1.11.1;3,86;5474,91;0,00
746;Netherlands;1.11.1;329,91;518617,35;0,00
747;Poland;1.11.1;369,30;861129,59;0,00
748;Portugal;1.11.1;78,85;137149,92;0,00
749;Romania;1.11.1;78,73;264450,20;0,00
750;Slovenia;1.11.1;22,30;23942,44;0,00
751;Spain;1.11.1;372,96;820696,07;0,00
752;Sweden;1.11.1;182,83;2531191,76;0,00
753;United Kingdom;1.11.1;729,68;1332723,70;0,00
754;United States;1.11.1;8518,35;13202717,13;0,00
755;Austria;9.1.1;107,09;211598,71;0,00
756;Belgium;9.1.1;203,58;214241,56;0,00
757;Bulgaria;9.1.1;41,40;48950,56;0,00
758;Croatia;9.1.1;33,37;222369,96;0,00
759;Cyprus;9.1.1;10,39;15109,49;0,00
760;Denmark;9.1.1;89,13;1329572,91;0,00
761;Estonia;9.1.1;17,77;9630,80;0,00
762;Finland;9.1.1;131,51;125961,79;0,00
763;France;9.1.1;1018,39;1662486,35;0,00
764;Greece;9.1.1;81,95;173545,52;0,00
765;Hungary;9.1.1;127,62;17659537,89;0,00
766;Ireland;9.1.1;64,64;133988,62;0,00
767;Italy;9.1.1;712,05;1212261,61;0,00
768;Japan;9.1.1;1863,63;347693833,82;0,00
769;Latvia;9.1.1;25,03;12178,00;0,00
770;Lithuania;9.1.1;25,17;16829,90;0,00
771;Luxembourg;9.1.1;17,78;36280,22;0,00
772;Malta;9.1.1;3,86;5474,91;0,00
773;Netherlands;9.1.1;329,91;518617,35;0,00
774;Poland;9.1.1;369,30;861129,59;0,00
775;Portugal;9.1.1;78,85;137149,92;0,00
776;Romania;9.1.1;78,73;264450,20;0,00
777;Slovenia;9.1.1;22,30;23942,44;0,00
778;Spain;9.1.1;372,96;820696,07;0,00
779;Sweden;9.1.1;182,83;2531191,76;0,00
780;United Kingdom;9.1.1;729,68;1332723,70;0,00
781;United States;9.1.1;8518,35;13202717,13;0,00
782;Austria;2.1.1;107,09;211598,71;0,00
783;Belgium;2.1.1;203,58;214241,56;0,00
784;Bulgaria;2.1.1;41,40;48950,56;0,00
785;Croatia;2.1.1;33,37;222369,96;0,00
786;Cyprus;2.1.1;10,39;15109,49;0,00
787;Denmark;2.1.1;89,13;1329572,91;0,00
788;Estonia;2.1.1;17,77;9630,80;0,00
789;Finland;2.1.1;131,51;125961,79;0,00
790;France;2.1.1;1018,39;1662486,35;0,00
791;Greece;2.1.1;81,95;173545,52;0,00
792;Hungary;2.1.1;127,62;17659537,89;0,00
793;Ireland;2.1.1;64,64;133988,62;0,00
794;Italy;2.1.1;712,05;1212261,61;0,00
795;Japan;2.1.1;1863,63;347693833,82;0,00
796;Latvia;2.1.1;25,03;12178,00;0,00
797;Lithuania;2.1.1;25,17;16829,90;0,00
798;Luxembourg;2.1.1;17,78;36280,22;0,00
799;Malta;2.1.1;3,86;5474,91;0,00
800;Netherlands;2.1.1;329,91;518617,35;0,00
801;Poland;2.1.1;369,30;861129,59;0,00
802;Portugal;2.1.1;78,85;137149,92;0,00
803;Romania;2.1.1;78,73;264450,20;0,00
804;Slovenia;2.1.1;22,30;23942,44;0,00
805;Spain;2.1.1;372,96;820696,07;0,00
806;Sweden;2.1.1;182,83;2531191,76;0,00
807;United Kingdom;2.1.1;729,68;1332723,70;0,00
808;United States;2.1.1;8518,35;13202717,13;0,00
809;Austria;8.1.1;107,09;211598,71;0,00
810;Belgium;8.1.1;203,58;214241,56;0,00
811;Bulgaria;8.1.1;41,40;48950,56;0,00
812;Croatia;8.1.1;33,37;222369,96;0,00
813;Cyprus;8.1.1;10,39;15109,49;0,00
814;Denmark;8.1.1;89,13;1329572,91;0,00
815;Estonia;8.1.1;17,77;9630,80;0,00
816;Finland;8.1.1;131,51;125961,79;0,00
817;France;8.1.1;1018,39;1662486,35;0,00
818;Greece;8.1.1;81,95;173545,52;0,00
819;Hungary;8.1.1;127,62;17659537,89;0,00
820;Ireland;8.1.1;64,64;133988,62;0,00
821;Italy;8.1.1;712,05;1212261,61;0,00
822;Japan;8.1.1;1863,63;347693833,82;0,00
823;Latvia;8.1.1;25,03;12178,00;0,00
824;Lithuania;8.1.1;25,17;16829,90;0,00
825;Luxembourg;8.1.1;17,78;36280,22;0,00
826;Malta;8.1.1;3,86;5474,91;0,00
827;Netherlands;8.1.1;329,91;518617,35;0,00
828;Poland;8.1.1;369,30;861129,59;0,00
829;Portugal;8.1.1;78,85;137149,92;0,00
830;Romania;8.1.1;78,73;264450,20;0,00
831;Slovenia;8.1.1;22,30;23942,44;0,00
832;Spain;8.1.1;372,96;820696,07;0,00
833;Sweden;8.1.1;182,83;2531191,76;0,00
834;United Kingdom;8.1.1;729,68;1332723,70;0,00
835;United States;8.1.1;8518,35;13202717,13;0,00
836;Austria;7.2.1;107,09;211598,71;0,00
837;Belgium;7.2.1;203,58;214241,56;0,00
838;Bulgaria;7.2.1;41,40;48950,56;0,00
839;Croatia;7.2.1;33,37;222369,96;0,00
840;Cyprus;7.2.1;10,39;15109,49;0,00
841;Denmark;7.2.1;89,13;1329572,91;0,00
842;Estonia;7.2.1;17,77;9630,80;0,00
843;Finland;7.2.1;131,51;125961,79;0,00
844;France;7.2.1;1018,39;1662486,35;0,00
845;Greece;7.2.1;81,95;173545,52;0,00
846;Hungary;7.2.1;127,62;17659537,89;0,00
847;Ireland;7.2.1;64,64;133988,62;0,00
848;Italy;7.2.1;712,05;1212261,61;0,00
849;Japan;7.2.1;1863,63;347693833,82;0,00
850;Latvia;7.2.1;25,03;12178,00;0,00
851;Lithuania;7.2.1;25,17;16829,90;0,00
852;Luxembourg;7.2.1;17,78;36280,22;0,00
853;Malta;7.2.1;3,86;5474,91;0,00
854;Netherlands;7.2.1;329,91;518617,35;0,00
855;Poland;7.2.1;369,30;861129,59;0,00
856;Portugal;7.2.1;78,85;137149,92;0,00
857;Romania;7.2.1;78,73;264450,20;0,00
858;Slovenia;7.2.1;22,30;23942,44;0,00
859;Spain;7.2.1;372,96;820696,07;0,00
860;Sweden;7.2.1;182,83;2531191,76;0,00
861;United Kingdom;7.2.1;729,68;1332723,70;0,00
862;United States;7.2.1;8518,35;13202717,13;0,00
863;Austria;10.1.2;241,46;17210,29;0,01
864;Belgium;10.1.2;320,41;22052,32;0,01
865;Bulgaria;10.1.2;106,83;4718,50;0,02
866;Croatia;10.1.2;80,91;12937,36;0,01
867;Cyprus;10.1.2;31,93;796,08;0,04
868;Denmark;10.1.2;167,88;74775,68;0,00
869;Estonia;10.1.2;31,20;1271,77;0,02
870;Finland;10.1.2;170,76;9192,55;0,02
871;France;10.1.2;1618,49;95297,12;0,02
872;Greece;10.1.2;281,90;8433,31;0,03
873;Hungary;10.1.2;171,38;1648318,44;0,00
874;Ireland;10.1.2;133,35;6591,38;0,02
875;Italy;10.1.2;1545,57;89510,33;0,02
876;Japan;10.1.2;3047,12;27097872,77;0,00
877;Latvia;10.1.2;45,18;1898,86;0,02
878;Lithuania;10.1.2;60,86;3458,19;0,02
879;Luxembourg;10.1.2;20,30;1107,62;0,02
880;Netherlands;10.1.2;392,61;27750,07;0,01
881;Poland;10.1.2;697,41;72033,50;0,01
882;Portugal;10.1.2;264,16;8628,29;0,03
883;Romania;10.1.2;195,76;38207,07;0,01
884;Slovenia;10.1.2;66,90;1981,17;0,03
885;Spain;10.1.2;1383,53;50509,42;0,03
886;Sweden;10.1.2;296,36;97683,83;0,00
887;United Kingdom;10.1.2;1671,11;64574,59;0,03
888;United States;10.1.2;23632,38;464705,60;0,05
889;Austria;10.1.1;1,12;38,03;0,03
890;Belgium;10.1.1;6,58;835,64;0,01
891;Croatia;10.1.1;1,57;1443,60;0,00
892;Denmark;10.1.1;6,53;33294,65;0,00
893;Estonia;10.1.1;0,34;143,01;0,00
894;Finland;10.1.1;7,19;682,59;0,01
895;France;10.1.1;20,66;2781,15;0,01
896;Greece;10.1.1;30,02;8382,53;0,00
897;Hungary;10.1.1;0,04;3859,36;0,00
898;Ireland;10.1.1;2,70;121,64;0,02
899;Italy;10.1.1;47,23;3832,91;0,01
900;Japan;10.1.1;139,64;2487895,61;0,00
901;Latvia;10.1.1;0,21;72,27;0,00
902;Lithuania;10.1.1;0,27;128,49;0,00
903;Netherlands;10.1.1;15,10;2594,56;0,01
904;Poland;10.1.1;0,13;1551,77;0,00
905;Portugal;10.1.1;5,16;124,47;0,04
906;Romania;10.1.1;2,46;1304,48;0,00
907;Spain;10.1.1;44,38;1019,16;0,04
908;Sweden;10.1.1;6,35;8913,84;0,00
909;United Kingdom;10.1.1;33,27;5085,19;0,01
910;United States;10.1.1;344,76;16651,46;0,02
